Stock,Date,Open,High,Low,Close,Adj Close,Volume
0941.HK,2010-01-01,72.849998,79.900002,72,73.75,38.915146,581539756
0941.HK,2010-02-01,72.800003,77.550003,72.699997,76.599998,40.418991,337560447
0941.HK,2010-03-01,77.5,77.849998,72.5,74.699997,39.416428,519945780
0941.HK,2010-04-01,75.050003,81.199997,75.050003,77.25,40.761971,506373279
0941.HK,2010-05-01,76,77.25,71.300003,73.699997,38.88876,450364076
0941.HK,2010-06-01,73.5,80.050003,72.699997,78.199997,42.074142,391818363
0941.HK,2010-07-01,79,79.900002,76.5,78.550003,42.262455,284965425
0941.HK,2010-08-01,79.349998,84.800003,78.699997,79.150002,42.58527,492568256
0941.HK,2010-09-01,79.949997,82.25,76.199997,79.449997,42.746685,1336847682
0941.HK,2010-10-01,80.599998,83.800003,78.599998,78.949997,43.25449,582585264
0941.HK,2010-11-01,79.5,83,77.150002,77.449997,42.432682,563922678
0941.HK,2010-12-01,77.599998,79.5,75.849998,77.199997,42.295719,343526003
0941.HK,2011-01-01,77,79.650002,76.150002,76.599998,41.966988,481547248
0941.HK,2011-02-01,76.800003,78.050003,71.550003,73.050003,40.022053,444597243
0941.HK,2011-03-01,73.699997,75.849998,68.5,71.650002,39.255032,554036284
0941.HK,2011-04-01,72.050003,74.5,70.900002,71.400002,39.118065,338262105
0941.HK,2011-05-01,71.400002,72.449997,68.050003,71.050003,38.926311,366321030
0941.HK,2011-06-01,71.5,73.300003,68.849998,72,40.338413,429610833
0941.HK,2011-07-01,72,78.650002,71.050003,77.550003,43.447838,452732766
0941.HK,2011-08-01,78.400002,79.199997,68.199997,79,44.260204,701415055
0941.HK,2011-09-01,79.900002,81.150002,73.699997,77.099998,43.195721,551792039
0941.HK,2011-10-01,76.5,77,72.099998,74.650002,42.656178,473773841
0941.HK,2011-11-01,74.900002,78.050003,73.900002,74.300003,42.456188,297198187
0941.HK,2011-12-01,76.5,76.650002,72.199997,75.900002,43.370445,288633680
0941.HK,2012-01-01,75.900002,79.449997,74.800003,79.300003,45.313259,296208079
0941.HK,2012-02-01,79.5,82.949997,77.199997,82.849998,47.341785,360349389
0941.HK,2012-03-01,82.5,87.5,79.650002,85.449997,48.827465,470630387
0941.HK,2012-04-01,86,87.599998,82.5,85.949997,49.113167,229235078
0941.HK,2012-05-01,86,89.849998,78.150002,78.5,44.856125,408773872
0941.HK,2012-06-01,78.199997,84.949997,76.5,84.75,49.467422,285012196
0941.HK,2012-07-01,84.75,91.099998,83.800003,90.949997,53.086273,281012370
0941.HK,2012-08-01,89.949997,92.599998,81.800003,82.800003,48.329243,441940604
0941.HK,2012-09-01,83.050003,86.75,81.099998,85.949997,50.167839,379113206
0941.HK,2012-10-01,85.949997,87.949997,83.199997,85.949997,51.179657,364056868
