Stock,Date,Open,High,Low,Close,Adj Close,Volume
0941.HK,2020-08-01,52.900002,60.400002,52.900002,54.150002,43.549492,458149993
0941.HK,2020-09-01,54,54.950001,48.799999,49.450001,40.829262,437374854
0941.HK,2020-10-01,49.450001,52.450001,46.900002,47.150002,38.930229,321078335
0941.HK,2020-11-01,47.700001,53.950001,46.200001,46.400002,38.310974,864381879
0941.HK,2020-12-01,46.049999,47.5,43.700001,44.349998,36.618355,874738460
0941.HK,2021-01-01,44.349998,51.5,39,47.299999,39.054077,4307194619
0941.HK,2021-02-01,47.5,57.799999,46.200001,53.700001,44.338348,1491654835
0941.HK,2021-03-01,54.099998,59.200001,50,50.950001,42.067764,1285601634
0941.HK,2021-04-01,50.799999,54.049999,49.5,52,42.934711,581240519
0941.HK,2021-05-01,50.25,51.150002,47.950001,48.400002,39.962311,435961358
0941.HK,2021-06-01,48.25,50.049999,47.299999,48.549999,41.490452,503036025
0941.HK,2021-07-01,48.099998,51.099998,46.5,47.849998,40.892235,719808164
0941.HK,2021-08-01,48,52.950001,46.950001,47.150002,40.294022,718744760
0941.HK,2021-09-01,47.150002,49.950001,46.599998,46.950001,41.454552,449893180
0941.HK,2021-10-01,46.650002,49.5,46.400002,48.25,42.602386,289101797
0941.HK,2021-11-01,48.400002,49.299999,46.400002,46.599998,41.145519,346163185
0941.HK,2021-12-01,46.700001,47.900002,45.900002,46.799999,41.322105,308249252
0941.HK,2022-01-01,47,53.799999,46.799999,52.75,46.575665,644112009
0941.HK,2022-02-01,52.700001,58.650002,51.75,52.799999,46.619812,682932162
0941.HK,2022-03-01,52.549999,57.099998,47.799999,54.150002,47.811798,806687152
0941.HK,2022-04-01,53.700001,56.099998,51.150002,52.400002,46.266636,426643614
0941.HK,2022-05-01,51.799999,53,50,50.650002,44.72147,596264038
0941.HK,2022-06-01,50.200001,50.900002,48.700001,49,45.347679,436704349
0941.HK,2022-07-01,49.299999,50.799999,48.5,49.650002,45.949234,284427599
0941.HK,2022-08-01,49.400002,53.150002,48.900002,52.599998,48.679344,428972176
0941.HK,2022-09-01,52.400002,52.650002,49.150002,49.900002,46.180595,446907364
0941.HK,2022-10-01,49.25,50.950001,46.799999,47.25,45.661823,370700685
0941.HK,2022-11-01,47,52.799999,46.849998,51.75,50.010571,455318623
0941.HK,2022-12-01,52.200001,53.400002,50.75,51.75,50.010571,482163730
0941.HK,2023-01-01,51.400002,57.5,51.200001,56.200001,54.310997,435715087
1398.HK,2010-01-01,6.318309,6.396797,5.445126,5.592292,2.821941,8451964757
1398.HK,2010-02-01,5.523615,5.768891,5.278339,5.38626,2.717975,5224546310
1398.HK,2010-03-01,5.454937,5.876812,5.445126,5.808135,2.930858,7080006590
1398.HK,2010-04-01,5.867001,6.220198,5.543237,5.660969,2.856596,5813440154
1398.HK,2010-05-01,5.57267,5.700213,5.297961,5.660969,2.856596,6142236123
1398.HK,2010-06-01,5.562859,5.916056,5.415693,5.611914,2.918118,4484489033
1398.HK,2010-07-01,5.611914,5.847379,5.454937,5.827757,3.030353,3897218238
1398.HK,2010-08-01,5.984734,5.984734,5.435315,5.543237,2.882407,2904766046
1398.HK,2010-09-01,5.543237,5.876812,5.513804,5.67078,2.948727,5559463262
1398.HK,2010-10-01,5.67078,6.318309,5.621725,6.122088,3.183401,9023522046
1398.HK,2010-11-01,6.220198,6.769617,5.87,6.04,3.140717,8241096741
1398.HK,2010-12-01,5.96,6.08,5.58,5.79,3.01072,5162211969
1398.HK,2011-01-01,5.82,6.13,5.7,5.8,3.01592,5099656674
1398.HK,2011-02-01,5.8,5.99,5.62,5.98,3.109518,4423929286
1398.HK,2011-03-01,6.02,6.5,5.9,6.46,3.359111,7238925496
1398.HK,2011-04-01,6.5,6.75,6.4,6.57,3.416309,4521122412
1398.HK,2011-05-01,6.57,6.68,6.14,6.52,3.39031,3754231968
1398.HK,2011-06-01,6.51,6.55,5.68,5.91,3.073118,6031491331
1398.HK,2011-07-01,5.91,6.06,5.5,5.93,3.176438,4686264508
1398.HK,2011-08-01,6.01,6.06,4.68,5.12,2.742557,9107109495
1398.HK,2011-09-01,5.17,5.27,3.67,3.82,2.046204,9042492695
1398.HK,2011-10-01,3.71,5.15,3.46,4.94,2.646138,8631054654
1398.HK,2011-11-01,4.82,5.22,4.14,4.31,2.308676,7559278875
1398.HK,2011-12-01,4.7,4.93,4.5,4.61,2.469373,4995333921
1398.HK,2012-01-01,4.61,5.61,4.61,5.43,2.90861,5922123397
1398.HK,2012-02-01,5.44,5.72,5.27,5.69,3.04788,6381605563
1398.HK,2012-03-01,5.7,5.72,4.89,5.01,2.683635,6067067701
1398.HK,2012-04-01,5.07,5.33,4.92,5.18,2.774696,8532290655
1398.HK,2012-05-01,5.17,5.26,4.5,4.72,2.528294,7251578576
1398.HK,2012-06-01,4.64,4.74,4.14,4.29,2.297962,6745008073
1398.HK,2012-07-01,4.29,4.46,3.97,4.45,2.491509,6361146219
1398.HK,2012-08-01,4.42,4.6,4.17,4.2,2.351537,4722225443
1398.HK,2012-09-01,4.15,4.61,4.05,4.58,2.564295,5794368444
1398.HK,2012-10-01,4.58,5.2,4.54,5.13,2.872234,5888782994
1398.HK,2012-11-01,5.12,5.27,4.96,5.23,2.928223,4787839494
1398.HK,2012-12-01,5.2,5.61,5.08,5.5,3.079392,5111081823
1398.HK,2013-01-01,5.5,6,5.5,5.84,3.269756,6959821410
1398.HK,2013-02-01,5.85,5.95,5.35,5.57,3.118585,3855692335
1398.HK,2013-03-01,5.52,5.64,5.19,5.44,3.0458,5554058553
1398.HK,2013-04-01,5.44,5.5,5.03,5.46,3.056998,5210692121
1398.HK,2013-05-01,5.46,5.7,5.32,5.47,3.062596,7730847775
1398.HK,2013-06-01,5.4,5.5,4.39,4.89,2.73786,8990257797
1398.HK,2013-07-01,4.89,5.19,4.55,5.1,2.996701,6015426363
1398.HK,2013-08-01,5.12,5.4,4.9,5.09,2.990826,4656013486
1398.HK,2013-09-01,5.18,5.64,5.14,5.41,3.178854,5569666824
1398.HK,2013-10-01,5.41,5.57,5.1,5.43,3.190606,4392722126
1398.HK,2013-11-01,5.43,5.63,5.15,5.57,3.272868,4966184376
1398.HK,2013-12-01,5.6,5.66,5.16,5.24,3.078964,4588882038
1398.HK,2014-01-01,5.24,5.27,4.62,4.81,2.826301,5785512237
1398.HK,2014-02-01,4.81,4.88,4.57,4.65,2.732287,4604652921
1398.HK,2014-03-01,4.62,4.77,4.33,4.77,2.802797,5641210489
1398.HK,2014-04-01,4.79,4.97,4.56,4.62,2.714659,5044737288
1398.HK,2014-05-01,4.62,5.09,4.56,5.04,2.961446,4541611626
1398.HK,2014-06-01,5.04,5.25,4.8,4.9,2.879184,4836190853
1398.HK,2014-07-01,4.9,5.35,4.9,5.33,3.34182,4901686770
1398.HK,2014-08-01,5.27,5.33,5.08,5.14,3.222693,3646352515
1398.HK,2014-09-01,5.11,5.34,4.82,4.84,3.034599,6336552720
1398.HK,2014-10-01,4.84,5.16,4.74,5.13,3.216424,5473347318
1398.HK,2014-11-01,5.19,5.3,4.91,5.26,3.297932,6047229225
1398.HK,2014-12-01,5.19,5.7,5.1,5.66,3.548725,9127911441
1398.HK,2015-01-01,5.66,5.9,5.38,5.58,3.498566,5608860651
1398.HK,2015-02-01,5.51,5.75,5.44,5.66,3.548725,3908803220
1398.HK,2015-03-01,5.71,5.75,5.36,5.72,3.586344,6052493312
1398.HK,2015-04-01,5.72,7.1,5.72,6.74,4.225867,9721597856
1398.HK,2015-05-01,6.74,7,6.38,6.75,4.232137,5653804319
1398.HK,2015-06-01,6.68,6.88,5.95,6.16,3.862216,6234038603
1398.HK,2015-07-01,6.16,6.35,5.26,5.34,3.52096,8178180131
1398.HK,2015-08-01,5.3,5.49,4.5,4.58,3.01985,6823865246
1398.HK,2015-09-01,4.6,4.91,4.3,4.46,2.940727,6865078335
1398.HK,2015-10-01,4.46,5.19,4.46,4.95,3.263811,5008795573
1398.HK,2015-11-01,4.9,5.07,4.62,4.69,3.092379,5024546376
1398.HK,2015-12-01,4.73,4.83,4.43,4.68,3.085785,4571563422
1398.HK,2016-01-01,4.68,4.68,3.82,4.03,2.657204,5540122298
1398.HK,2016-02-01,4.04,4.05,3.72,3.84,2.531926,4329738214
1398.HK,2016-03-01,3.89,4.4,3.83,4.34,2.861605,4611222039
1398.HK,2016-04-01,4.34,4.42,4,4.21,2.775888,4331632478
1398.HK,2016-05-01,4.21,4.21,3.82,4.12,2.716546,5387037195
1398.HK,2016-06-01,4.12,4.47,4.03,4.29,2.828636,7226309332
1398.HK,2016-07-01,4.29,4.45,4.1,4.39,3.087187,4736372579
